Review,Rating
"kondisi brg diterima dgn baik pengiriman jg ok, tapi setelah pemakaian beberapa hari ketahuan kekurangan dari NFC nya kurang peka dari hp sy yg lama Poco x3 pro mudah²an... ",bintang 4
Hp nya Bagus tapi pengiriman nya busuk.. Lama banget pake pengiriman SiLambat ini,bintang 4
"puas, mantap, agak khawatir karena packing cuma 1 lapis bubble wrap nya, tapi untung barangnya aman",bintang 5
"terima kasih, barsng sesuai Dan mantap",bintang 5
"berfungsi dengan baik, walau Paket sempat di kembalikan ke ekspedisi, akhirnya datang langsung ke ekspedisinya buat ambil sendiri..",bintang 5
"sesuai pesanan,barang masih disegel dan lengkap",bintang 5
"original, garansi resmi, berfungsi dengan baik, pengiriman cepat dan admin responsif",bintang 5
packing super aman. pengiriman cepat. promonya worth bgt,bintang 5
"masuk dalam budgetku. maunya sih kakak nya f6. lumayan lah. semoga awet. 
tetapi agak cepat panas ya, mungkin awal2 setup saja kali ya.",bintang 5
mantap,bintang 5
"barang tiba dengan Selamat,sesuai pesanan,packing aman gak ada penyok2, bagus sekali.. terimakasih",bintang 5
"alhamdulillah barangnya sudah sampai dengan selamat
sayangnya video unboxing tidak bisa dicantumin karena durasi waktu",bintang 5
Barang sampai cepat salam kondisi sangat baik. packingan aman. Great service..,bintang 5
mantap...sangat memuaskan...,bintang 5
"barang mantap, mulus, bersegel
semoga awet👌🏽",bintang 5
Barang masih disegel. Garansi resmi. Pengiriman cepat. Barang asli,bintang 5
"Barang ok sesuai,promo 11 11nya mantap, mudah mudahan awet dan claim garansinya mudah nanti jika ada masalah di hpnya",bintang 5
kelas banget min wkwk,bintang 5
Jos mantap,bintang 5
hp terdebes th ini joozxz,bintang 5
"barang sesuai deskripsi.
.",bintang 5
None,bintang 1
"mantap sesuai pesanan, berfungsi dgn baik",bintang 5
Barang ori dan msh segel,bintang 5
"Barang datang masih segel, langsung dipakai lancar jaya, recommended seller, terimakasih",bintang 5
"Barang sesuai pesanan, makasih gan Top banget",bintang 5
"barang telah sampai ke tujuan dengan selamat, packing aman dan bagus tidak ada kerusakan sampai proses ke penerima. semoga barang berkualitas dan awet, terima kasih",bintang 5
"barang masih disegel saat sampai, barang ini resmi karena beli di official store, Poco mantap",bintang 5
"SesuaiS 
pas banget buat nge game.. banyak yg bilang gampang panas. mungkin suhu di sekitar lagi puuaaanas . karena itu sangat mempengaruhi
apalagi pakai case. aku pakai... ",bintang 4
"respon cepat packing aman barang sesuai diskripsi , semoga awet....",bintang 5
thanks seller. hp nya sampai dalam keadaan baik dan normal.,bintang 5
barangnya bagus tapi pengirimannya lumayan lama,bintang 5
barang top banget ga rugi deh,bintang 5
Barang masih segel dan ada garansinya. Kualitas top markotop. Mantap 👍👍👍👍👍,bintang 5
bagus,bintang 5
sementara berfungsi dengan baik,bintang 5
"Uda di terima. Belum test fungsinya.
Moga aman & baik. Saran: bubble wrap jgn cuma 1 lapis tipis, drpd timbul urusan belakang - ribet. Ada baiknya bila butuh tambahan... ",bintang 5
"Pengiriman cepat mantap, kurir reguler,  pesan jumat siang sampe minggu siang, mantap",bintang 5
oke,bintang 5
GG rekomendasi semoga awet sampai bosen tidak ada masalah,bintang 5
mantap diskonnya lumayan pengiriman cepat,bintang 5
"barang sampai dengan aman, dan berfungsi sangat baik, terimakasih 🙏",bintang 5
"barang msh di segel dan di packing dengan rapi
semogabawet dan ga ada kerusakan
thks admin",bintang 5
"""Beli satu dapat duaa, hanya Poco hp kesayangan kita SEMUA!""
saya pengguna Poco dari sejak Poco F1, Poco X3 Pro, Poco F4GT dan Poco F5. 
dan selama saya pakai,tid... ",bintang 5
bagus ngebut zzz,bintang 5
"Barang bagus, berfungsi dg baik, packing rapi dan harga sangat worthed bgt.",bintang 5
"Saya gak kasih bintang 5, belinya tgl 6 tibanya tgl 16, kenapa juga pakai kargo padahal yang tertera saat pembelian tidak demikian, official store tapi packingan adduuh..... ",bintang 3
"pengiriman cepat, packaging aman. dan hpnya luar biasa mantab.",bintang 5
barang masih disegel waktu sampai dan ada garansi resminya berfungsi dengan baik kualitas barang original pasti top,bintang 5
"Poco X6 Pro Sudah saya terima dengan aman,packing rapih menggunakan dus tambahan dan bubblewrap. unit sudah saya hidupkan, semoga tidak ada kendala saat saya gunakan. ter... ",bintang 5
puas,bintang 5
"Poco X6 Pro 5G datang dengan aman, paket komplit sesuai description.
Thank You Poco & Xiaomi Official Store diskon 11.11 Tokopedia 👏👏",bintang 5
Mantab 👍🏻,bintang 5
"Mantabb..POCO X6 PRO 5G..
MUDAH2HN AWET& BAROKAH..AMIIN
👍👍",bintang 5
"sesuai pesanan pengiriman cepat, maaf telat konfirm",bintang 5
"paket rapi barang diterima dgn baik kms sore order jmt malam dikirim sabtu terima
 ekspedisi anter aja ok",bintang 5
"Barang oke, pengiriman sama layanan naudzubillah",bintang 2
"barang sampai dengan selamat. tidak ada masalah dan tidak panas. pengirimannya aja yang lama.
pokoknya mantap dah...",bintang 5
"cukup puas,pengiriman cepat,barang ok",bintang 5
None,bintang 5
"Barang masih tersegel pada saat datang. Mantappp
Barang dalam kondisi Baru",bintang 5
good,bintang 5
mqntappp,bintang 5
"Ori Segel, Rekom Beli Disini, Mantap👍",bintang 5
"Katanya HP Buat Gaming, Tapi Main ML Rata Kanan langsung ngefreze, terus tbtb suaranya hilang!",bintang 2
"RESELLER
BARANG 100% ORIGINAL 
HANYA PENGIRIMAN SAJA TERKENDALA
BARANG VERY GOODS",bintang 5
barang bagus,bintang 5
"barang sesuai, masih disegel rapih, pengiriman aman. thanks",bintang 5
pengiriman lama dan tracking kurang jelas but overall good phone💯,bintang 4
"mantapppp josh,next order lgi 👍😎👍",bintang 5
"barang sudah Saya terima thanx 
barang bisa dipergunakan",bintang 5
None,bintang 5
ok good mantappsss,bintang 5
mantap segel xiaomi manis banget original perfect packingnya,bintang 5
berfungsi semoga awet,bintang 5
jasa kirim mohon diganti,bintang 5
barang nya bagus masih di segel hidup dengan lancar dan respon penjual nya cepat hebat deh pokok nya😆😆,bintang 5
"desainnya cakep banget dari kulit bohongan
🫵😆",bintang 5
"barang diterima dalam kondisi baik , semua original mantap ,terima kasih",bintang 5
nais,bintang 5
"Original, segel, dapet promo 11.11 murah banget dari harga asli",bintang 5
Barang masih disegel bagus,bintang 5
