<<<<<<< HEAD
product_id,rating,review,brand,rating_label
1,5,"barang sudah sampai dalam keadaan mulus, barang sesuai dengan pesanan",asus,good
1,5,"packing aman, barang berfungsi dengan baik",asus,good
1,5,"Bagus, barang lansung dikirim di hari pemesanan dan cepat sampai. Terpacking dengan rapih dan aman. Barang sesuai deskripsi dan gambar",asus,good
1,3,"seller kurang responsif.
mending beli di toko lain, harga lbh murah & pelayanan bagus.
Official store but No recommended.",asus,neutral
1,5,Great,asus,good
1,5,"Pemakaian 2 bulan, sejauh ini oke",asus,good
1,5,"Proses pemesanan lancar, seller cukup responsive juga. Sudah lama nunggu yg warna starry blue ini restock lagi.
Pengiriman sameday jg aman, sesuai jadwal.

Untuk Zenfone... ",asus,good
1,5,"Barang sesuai pesanan, warna sesuai, di luar ekspektasi ternyata hp ini cukup gendut (tebal) tp nyaman di genggaman tangan, feel cover agak kasar jd agak aneh kalau dipeg... ",asus,good
1,5,barang sesuai pesanan good 👍,asus,good
1,1,"Update - Baru dipakai 1 minggu, per tanggal 18 oct mati total dan harus menunggu 1-2 minggu untuk di service, bukan ganti unit. sangat buruk, semoga cepat selesai dan awe... ",asus,bad
1,5,"Barang ori, packagenya lengkap. dapat hp, kepala charger, kabel type c, bahkan dapet earphone wired. di review jarang ada yg mention dapet earphone",asus,good
=======
product_id,rating,review,brand,rating_label
1,5,"barang sudah sampai dalam keadaan mulus, barang sesuai dengan pesanan",asus,good
1,5,"packing aman, barang berfungsi dengan baik",asus,good
1,5,"Bagus, barang lansung dikirim di hari pemesanan dan cepat sampai. Terpacking dengan rapih dan aman. Barang sesuai deskripsi dan gambar",asus,good
1,3,"seller kurang responsif.
mending beli di toko lain, harga lbh murah & pelayanan bagus.
Official store but No recommended.",asus,neutral
1,5,Great,asus,good
1,5,"Pemakaian 2 bulan, sejauh ini oke",asus,good
1,5,"Proses pemesanan lancar, seller cukup responsive juga. Sudah lama nunggu yg warna starry blue ini restock lagi.
Pengiriman sameday jg aman, sesuai jadwal.

Untuk Zenfone... ",asus,good
1,5,"Barang sesuai pesanan, warna sesuai, di luar ekspektasi ternyata hp ini cukup gendut (tebal) tp nyaman di genggaman tangan, feel cover agak kasar jd agak aneh kalau dipeg... ",asus,good
1,5,barang sesuai pesanan good 👍,asus,good
1,1,"Update - Baru dipakai 1 minggu, per tanggal 18 oct mati total dan harus menunggu 1-2 minggu untuk di service, bukan ganti unit. sangat buruk, semoga cepat selesai dan awe... ",asus,bad
1,5,"Barang ori, packagenya lengkap. dapat hp, kepala charger, kabel type c, bahkan dapet earphone wired. di review jarang ada yg mention dapet earphone",asus,good
>>>>>>> 4ec1ece71d95ec194a9ec2549ef89d124763c4ab
1,4,"brg blm dicoba
semoga normal dan bagus
admin irit kata2 awalnya minta biru lalu dirubah ke hitam, tp kata admin ga bisa
pelayanan kiriman cepat
<<<<<<< HEAD
dikirim oleh eraspace",asus,good
1,5,mantap,asus,good
1,5,Barangnya original 👍 Ada garansi resmi Kemasan disegel Kelengkapan sesuai Spesifikasi sesuai Barangnya mulus Warna sesuai pesanan Berfungsi dengan baik,asus,good
1,5,Bagus,asus,good
2,5,Gud reseler gercep sat set responya rekomend lah ini,asus,good
2,5,"sangat puas! kualitas bagus, spek tinggi, ukuran pas. susah cari hp ukuran kecil. bluetooth codec hires audio. ada jack earphone. mantap suratap! bernilai jauh diatas har... ",asus,good
2,5,"dikirim cepat, admin bales cepat, barang sesuai",asus,good
2,5,"cepat proses, original dan murah. joss sekali",asus,good
2,5,mantap,asus,good
2,5,"BARANG ORI, PACKING AMAN, PACKING RAPI, PENGIRIMAN CEPAT, LENGKAP DENGAN CASING JUGA. SEMOGA AWET",asus,good
2,5,"Barang mulus segel aman, garansi resmi dan berfungsi dengan baik ✨
Mantap",asus,good
2,5,"di kemas nya bener"" rapih dan aman. 
Kualitas HP nya sih gk perlu di ragukan lagi. 
kecil"" cabe rawit",asus,good
2,5,Perfect barang dan packagingnya,asus,good
2,5,ok barang sudah sampai dari Eraspace,asus,good
2,3,"Udah proses kirim lama ini kurir ga ada kabar maen simpen aja paket di depan pintu, kalau ada yg ngambil salah siapa ya? Selain pengiriman barang sih so far no problem.",asus,neutral
2,5,mantap asli udah gitu aja,asus,good
2,5,markotop,asus,good
2,5,barangnya sampai garansi ada semua fitur-fitur berfungsi,asus,good
